Strength Index,Common Name,Scientific Name,Janka Index,MOE Index,MOR Index,Crush Index
95.3,Pintobortri,Pouteria eugenifolia,102.3,97.6,100,81.5
91.3,Suriname ironwood,Bocoa prouacensis,93.9,84.9,86.3,100
83.3,Coracao de negro,Swartzia panacoco,73.2,100,76.9,83.1
80.3,Kaneelhart,Licaria canella,62.2,85.9,81.8,91.1
79.8,Snakewood,Brosimum guianense,81.9,73,74.1,90.3
78.1,Katalox,Swartzia cubensis,78.7,81.3,73.4,79.1
77.5,Wamara,Swartzia benthamiana,78.9,77,74.7,79.3
75.5,Endra endra,Humbertia madagascariensis,94.1,64.5,68.2,75.2
75.1,Congotali,Letestua durissima,69.4,75,85.6,70.4
70.7,Gidgee,Acacia cambagei,92.1,55.4,59.6,75.9
70.4,Ipe,Handroanthus serratifolius,75.6,69.2,66.8,70
69.8,Bulletwood,Manilkara bidentata,67.3,72.6,73,66.4
69.8,Cumaru,Dipteryx odorata,71.5,70.1,66.1,71.5
68.9,Saffronheart,Halfordia scleroxyla,62.7,65.6,75.3,71.8
68.8,Greenheart,Chlorocardium rodiei,54.2,77.9,74,69.2
68.5,Ekki,Lophira alata,69.3,58.8,74.4,71.7
68.2,Curupay,Anadenanthera colubrina,78.2,56.9,69.9,67.8
67.3,African Blackwood,Dalbergia melanoxylon,79,55.2,81.6,53.3
66.7,Bloodwood,Brosimum rubescens,62.2,64.8,65.8,74
66.6,Grey Ironbark,Eucalyptus paniculata,64.5,68.3,66.9,66.7
65.9,Quebracho,Schinopsis quebracho,98.7,50.7,52.6,61.6
65.7,Iron birch,Betula schmidtii,51.2,55,89.6,66.9
65.3,Red Mangrove,Rhizophora mangle,59.2,77.1,62.8,62.3
65.2,Chico Zapote,Manilkara zapota,63.8,63.6,69.8,63.6
63.9,Lignum Vitae,Guaiacum officinale,94.7,52.4,45.4,63.3
63.7,Siamese Rosewood,Dalbergia cochinchinensis,51.9,49.9,64.4,88.7
63,Mgurure,Combretum schumannii,95.6,52.7,53.7,49.8
62.5,Angelim vermelho,Dinizia excelsa,67.9,60.1,58.1,63.7
62.3,Verawood,Bulnesia arborea,80,47.5,67,54.7
61.8,Pau Rosa,Bobgunnia fistuloides,63.1,52.4,62.5,69.2
61.5,Machiche,Lonchocarpus spp.,57.9,58.6,65.5,64
61.2,Horsetail Casuarina,Casuarina equisetifolia,68.8,58.7,58.6,58.7
61.2,Itin,Prosopis kuntzei,68.8,53.3,57.5,65.1
60.2,Grey Box,Eucalyptus moluccana,71.1,55.5,56.6,57.5
60.1,Araracanga,Aspidosperma megalocarpon,52.4,65.5,56.8,65.8
60.1,Macassar Ebony,Diospyros celebica,69.2,53.2,58.8,59.1
59.9,Purpleheart,Peltogyne spp.,53.8,63.1,60.9,62
59.6,Black Ironwood,Krugiodendron ferreum,78.8,63.7,46,49.8
59.4,Sneezewood,Ptaeroxylon obliquum,66.2,54.4,54.1,63
59.4,Marblewood,Zygia racemosa,54.2,68.9,58.8,55.6
59.1,Rose sheoak,Allocasuarina torulosa,67.6,62.2,53.9,52.6
58.5,Jatoba,Hymenaea courbaril,57.6,58.6,58,60
58.4,Hormigo Negro,Platymiscium dimorphandrum,57.9,60.7,55.3,59.5
58.3,Gaboon Ebony,Diospyros crassiflora,66.2,51.6,59.2,56
57,Mora,Mora excelsa,49.1,59.6,58.2,60.9
57,Mora,Mora gonggrijpii,49.1,59.6,58.2,60.9
56.8,Bubinga,Guibourtia spp.(tessmannii),51.5,56.8,63.3,55.6
56.8,East African Olive,Olea capensis,57.8,54.6,58.1,56.7
56.3,Pink Ivory,Berchemia zeyheri,69.4,45.7,51.1,59.2
55.8,Belah,Casuarina cristata,97.1,48.6,44.2,33.3
55.5,Texas Ebony,Ebenopsis ebano,60.5,50.5,56.9,54.2
55.2,Turpentine,Syncarpia glomulifera,59,46.9,55.5,59.3
54.9,Quina,Myroxylon peruiferum,47,51.2,58.8,62.6
54.5,Gum Arabic,Vachellia nilotica,67,49.6,49.6,51.8
54.3,Boxwood,Buxus sempervirens,60.8,52.7,53.7,49.8
54,Santos Mahogany,Myroxylon balsamum,51.3,50,55.4,59.4
54,Spotted Gum,Corymbia maculata,49.7,61.4,52.6,52.4
53.7,Blue Gum,Eucalyptus globulus,50.7,58,49.7,56.5
53,Madagascar Rosewood,Dalbergia baronii,58.2,35.1,62.3,56.2
52.8,Wenge,Millettia laurentii,41.1,54,56.6,59.6
52.5,Brownheart,Vouacapoua americana,40,54.9,56.1,58.9
52.1,Mutenye,Guibourtia arnoldiana,34.9,57.4,56.9,58.9
51.8,Urundeuva,Astronium urundeuva,67.6,44.9,49,45.5
51.6,Ceylon Satinwood,Chloroxylon swietenia,56.1,43.7,54,52.4
51.5,Karri,Eucalyptus diversicolor,43.2,63.7,46.9,52.2
51.3,Argentine Osage Orange,Maclura tinctoria,50.9,44.9,49.8,59.6
51.2,Mopane,Colophospermum mopane,72.8,39.2,41.4,51.2
50.5,Moabi,Baillonella toxisperma,38,50.9,60.1,53.2
50,Brazilian Rosewood,Dalbergia nigra,59.8,41.6,49.8,48.7
49.8,Red ash,Alphitonia excelsa*,40.1,58.8,49.4,51
49.6,Tatajuba,Bagassa guianensis,36.5,58.7,45.3,58.1
49.6,Yellow Box,Eucalyptus melliodora,62.7,41.9,44.6,49.3
48.8,Merbau,Intsia bijuga,39.2,48.4,54,53.7
48.4,Goncalo Alves,Astronium graveolens,46.2,50.5,42.6,54.4
48.4,Lemonwood,Calycophyllum candidissimum,39.9,47.8,56.9,49
48.1,Black Palm,Borassus flabellifer,43.1,47.3,50.9,51.2
48.1,Bamboo,Phyllostachys spp.,31.9,58.8,44.7,57
47.9,Kempas,Koompassia malaccensis,37.2,62.5,43.2,48.8
47.5,Pignut Hickory,Carya glabra,45.6,47.2,51.3,45.6
47.3,Lemon-Scented Gum,Corymbia citriodora,40.7,50.9,49.6,47.9
47,River Sheoak,Casuarina cunninghamiana,42.4,35.2,48.7,61.7
46.8,Live Oak,Quercus virginiana,57.4,40.2,46.1,43.5
46.8,Partridgewood,Andira inermis,38,56,46.8,46.2
46.7,Ceylon Ebony,Diospyros ebenum,51.9,42.1,47.3,45.7
46.5,Panga Panga,Millettia stuhlmannii,34.8,47.7,48.3,55
46.1,Burma Padauk,Pterocarpus macrocarpus,45.8,42.3,51.4,44.8
46,Osage Orange,Maclura pomifera,56.1,33.9,47.3,46.7
45.9,Ovangkol,Guibourtia ehie,27.9,57.5,52,46.3
45.6,Ohia,Metrosideros collina,43.4,47.4,46.2,45.5
45.6,Prosopis juliflora,Prosopis juliflora,56.1,35.5,42,48.8
45.6,Shagbark Hickory,Carya ovata,40,44.9,51.6,45.7
45.4,Yellowheart,Euxylophora paraensis,38,50.8,42.1,50.6
45.3,Mockernut Hickory,Carya tomentosa,41.9,46.3,48.8,44.3
45.2,Afzelia,Afzelia spp.,38.4,43.3,44.7,54.3
45.2,Persimmon,Diospyros virginiana,49.1,41.4,44.6,45.5
45.1,Lebombo ironwood,Androstachys johnsonii,55.9,31.8,47,45.7
